,Drag Coefficient,mass,diameter,fall_velocity,air_density,air_viscosity,Reynolds Number,shapes,KPCA1,KPCA2,KPCA3
83,0.8190655,6e-08,0.003074475,0.89,1.112,1.758e-05,173.08002,0,-0.20428099628835436,0.46053886289531076,-0.11460669545636627
84,1.568825,6e-08,0.0014866305,0.82,1.112,1.758e-05,77.1086,11,-0.11235685205274315,-0.2111842832336883,0.026075629157483557
85,1.2882832,5.5e-07,0.003951126,1.16,1.112,1.758e-05,289.91104,10,-0.2969764719076225,0.05519876823580011,-0.06445672711986304
86,1.2213906,6e-08,0.0011138036,1.29,1.112,1.758e-05,90.88333,8,-0.36534382398162796,0.006709656765469452,-0.009248104859964041
87,1.1172593,6e-08,0.0020578227,0.82,1.112,1.758e-05,106.735214,10,-0.3728788213083222,0.24664591778027586,-0.0375295749742664
88,2.120064,6e-08,0.0010407211,1.09,1.112,1.758e-05,71.754105,8,0.08380581754157762,0.16606090716909241,-0.03416957510909664
89,0.41899866,1.5e-08,0.0015368232,0.93,1.112,1.758e-05,90.405075,11,-0.2763877288039404,-0.007341096615779145,-0.0205254169211639
90,1.1624709,9e-08,0.0015662007,1.03,1.112,1.758e-05,102.04003,15,-0.2776559964206906,0.042252236114138024,0.4110914385506011
91,0.7144322,1.2e-07,0.001666596,1.51,1.112,1.758e-05,159.18172,14,0.31135832705626154,-0.22156117078470502,-0.042652836902814704
92,0.46855196,3.5e-07,0.0026049193,1.93,1.112,1.758e-05,318.0076,14,-0.35912324960419617,0.18089050832453418,0.19641992424302257
93,0.5533089,1.0499999e-06,0.0039375233,2.54,1.112,1.758e-05,632.6198,14,-0.27986429866580276,-0.03916845592726414,0.12899437150561976
94,0.45988053,1.2e-07,0.0019005165,1.62,1.112,1.758e-05,194.7478,14,-0.22681238341269833,-0.09980869716102819,0.2702143123731225
95,0.5325155,7e-07,0.0032139106,2.14,1.112,1.758e-05,435.04434,14,-0.35947931163162133,-0.0757175193482176,0.20686123843487395
96,0.9017589,4.9999997e-08,0.0011376046,1.25,1.112,1.758e-05,89.94712,13,0.3732709483436612,-0.12838498382399915,-0.03425119136304204
97,0.81952983,2e-06,0.004764353,2.0,1.112,1.758e-05,602.7259,11,-0.06505442972629406,-0.2092330781708831,-0.05981459295245954
98,0.17013733,1.5e-08,0.0020696365,1.9,1.112,1.758e-05,248.7331,7,0.12208557684455966,0.5087593226908929,0.02957667835258
99,2.9604855,1.6999999e-07,0.0013630314,1.05,1.112,1.758e-05,90.52762,14,-0.08101870792832239,-0.15549833061966506,-0.08123711889779649
100,0.94412285,1.6999999e-07,0.0024745269,1.1,1.112,1.758e-05,172.17528,9,-0.02783829263590531,-0.16712361158846198,-0.1821865900385112
101,0.77776414,1.2e-07,0.0021898525,1.2,1.112,1.758e-05,166.21953,12,-0.047511053051445054,-0.18590674355559048,-0.08255886173181008
102,0.67211854,2e-06,0.004153269,2.4,1.112,1.758e-05,630.5031,13,0.12328327975545146,-0.08777800181597306,0.4758389069588946
103,0.35196573,1.9999999e-07,0.0023695345,2.0,1.112,1.758e-05,299.76364,15,0.2413130641525656,-0.34529157565428115,0.1715736712291041
